image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,sobel_gradient_rmse,taylor_gradient_rmse,taylor_improvement_factor
Images/clock.png,256,256,11,saltpepper,10.0,,0.0630340576171875,32.39162608661754,8.58715141796245,3.7721037524575745
Images/clock.png,256,256,11,gaussian,10.0,9.994355435375216,,7.611706191974994,3.6276231802786274,2.0982626402200792
Images/clock.png,256,256,11,gaussian,20.0,19.994355435375216,,2.4070328446647853,1.3969549934315943,1.7230568314530688
Images/clock.png,256,256,11,gaussian,30.0,29.994355435375212,,0.7611706191974996,0.6224663766101742,1.222830096209663
Images/clock.png,256,256,29,saltpepper,1.0,,0.0065765380859375,10.36999483885715,1.3396049553892158,7.741084263042456
Images/clock.png,256,256,29,saltpepper,5.0,,0.03173828125,23.071820321417025,4.855726135244393,4.751466552850761
Images/clock.png,256,256,29,saltpepper,10.0,,0.0637054443359375,32.58138920060222,8.713689606859594,3.739103717322394
Images/clock.png,256,256,29,gaussian,10.0,10.004446662820687,,7.579537339008283,3.636438709533039,2.084329736986433
Images/clock.png,256,256,29,gaussian,20.0,20.00444666282069,,2.3968601601557977,1.4046446665697523,1.7063818467407206
Images/clock.png,256,256,29,gaussian,30.0,30.004446662820683,,0.7579537339008284,0.615149258479926,1.232146057972632
Images/clock.png,256,256,47,saltpepper,1.0,,0.0064544677734375,10.368962811129984,1.4543727130766948,7.129508631384222
Images/clock.png,256,256,47,saltpepper,5.0,,0.0315704345703125,23.25945556084108,4.980431557569659,4.670168697628119
Images/clock.png,256,256,47,saltpepper,10.0,,0.063079833984375,32.43067828866005,8.44687053779189,3.839372006894497
Images/clock.png,256,256,47,gaussian,10.0,10.029352605514175,,7.5643237878572025,3.6185663540718886,2.090420085663275
Images/clock.png,256,256,47,gaussian,20.0,20.029352605514173,,2.392049212862109,1.398645750770557,1.7102609517415368
Images/clock.png,256,256,47,gaussian,30.0,30.029352605514173,,0.7564323787857203,0.6119735284668243,1.2360540833862674
