image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,normalization,method,method_label,hog_cosine_similarity,hog_relative_error,common_reference_cosine,common_reference_relative_error,clean_fidelity_cosine,clean_fidelity_relative_error
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.9047693307905927,0.43641876497785775,0.8532337907012985,0.5417863219105076,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9089627934953068,0.42670178463979447,0.9089627934953068,0.42670178463979447,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9062998414970033,0.43289758258906164,0.9055993236859636,0.43451277614674005,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8223268714142788,0.5961092661345369,0.7658878628328835,0.684269153428868,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2,B_taylor_standard,B: Taylor + Standard HOG,0.9648409276747714,0.26517568638632566,0.9648409276747714,0.26517568638632566,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9969973709529468,0.077493600342908,0.9939925091346066,0.10961287210354023,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8381088004470371,0.5690188038287863,0.7899668290013169,0.6481252517897036,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9687582395254524,0.24996703972633907,0.9687582395254524,0.24996703972633907,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.996883867748015,0.07894469269038674,0.9943506980789306,0.10629489095072812,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2,A_sobel_standard,A: Sobel + Standard HOG,0.7289255648903569,0.73630759212391,0.6779926779628436,0.8025052299358255,1.0,0.0
