experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,0.833831779619,0.364418867345,0.933599444563,1.0376489,1.01970189999,1.04265800001,1.0376489,3,39,20.1938594908,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.293831145306,0.367337256361,0.932531670046,1.4807463,1.4710188,1.4807463,1.48417509999,3,39,28.0155291088,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,1.14456674654,0.372615937894,0.930578681415,0.931547300002,1.0115053,0.928709699991,0.931547300002,3,41,20.4557395445,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.747338825771,0.386677050952,0.925240429135,0.879329000003,0.866162799997,0.884357100003,0.879329000003,3,41,24.7361742746,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.555591202121,0.390605669513,0.923713605474,0.835126999998,0.827842400002,0.872817699987,0.835126999998,3,41,28.2196974219,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,7.07730707289,0.389503878678,0.92414336425,0.455845500008,0.460358299999,0.444118700005,0.455845500008,3,3,6.50477441587,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,3.02321871969,0.358112557538,0.935877698068,26.0978224,25.9353241,26.0978224,26.1007129,3,433,13.6751981134,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,1.16994978303,0.368757828428,0.932008831988,21.9467126,22.9416396,21.9467126,21.87412,3,289,20.737716338,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.491083436567,0.394188953007,0.922307534665,21.4968437,21.5843719,21.4968437,21.0853361,3,186,28.6639204447,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,1.83382157712,0.373412440731,0.930281574556,16.1450265,16.1649206,16.098352,16.1450265,3,312,20.8147991556,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,1.19961756799,0.389504728348,0.924143033299,16.3085509,15.9582402,16.3085509,17.9228933,3,269,25.1541294782,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
